SMS_id,TEXT
95,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
96,Come by our room at some point so we can iron out the plan for this weekend
97,Cos i want it to be your thing
98,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
99,Bring home some Wendy =D
100,Whatsup there. Dont u want to sleep
101,Alright i have a new goal now
102,"Alright, I'll head out in a few minutes, text me where to meet you"
103,Yes:)from last week itself i'm taking live call.
104,Siva is in hostel aha:-.
105,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
106,Ok. She'll be ok. I guess
107,aathi..where are you dear..
108,Booked ticket for pongal?
109,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
110,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
111,"Ask g or iouri, I've told the story like ten times already"
112,How long does applebees fucking take
113,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
114,I wont get concentration dear you know you are my mind and everything :-)
115,LOL ... Have you made plans for new years?
116,K:)k:)what are detail you want to transfer?acc no enough?
117,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
118,Si si. I think ill go make those oreo truffles.
119,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DON’T LIKE ME LIKE THAT SO DON’T WORRY."
120,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
121,Great. Never been better. Each day gives even more reasons to thank God
122,"Sorry, I'll call later ok bye"
123,Ok i am on the way to railway
124,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
125,They don't put that stuff on the roads to keep it from getting slippery over there?
126,When are you going to ride your bike?
127,"Yup, no need. I'll jus wait 4 e rain 2 stop."
128,There are many company. Tell me the language.
129,"How long has it been since you screamed, princess?"
130,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
131,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
132,Ok I'm gonna head up to usf in like fifteen minutes
133,Love you aathi..love u lot..
134,Tension ah?what machi?any problem?
135,"K, can I pick up another 8th when you're done?"
136,When're you guys getting back? G said you were thinking about not staying for mcr
137,"Almost there, see u in a sec"
138,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
139,Watching tv lor...
140,Thank you baby! I cant wait to taste the real thing...
141,Dear reached railway. What happen to you
142,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
143,I think i've fixed it can you send a test message?
144,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
145,"Sorry,in meeting I'll call later"
146,What class of  &lt;#&gt;  reunion?
147,Are you free now?can i call now?
148,Got meh... When?
149,Nope... Think i will go for it on monday... Sorry i replied so late
150,Some of them told accenture is not confirm. Is it true.
151,"Kate jackson rec center before 7ish, right?"
152,Dear i have reache room
153,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
154,When can ü come out?
155,Check with nuerologist.
156,Lolnice. I went from a fish to ..water.?
157,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
158,"Maybe westshore or hyde park village, the place near my house?"
159,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
160,What's the significance?
161,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
162,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
163,Prabha..i'm soryda..realy..frm heart i'm sory
164,Lol ok your forgiven :)
165,No..jst change tat only..
166,S:)no competition for him.
167,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
168,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
169,But that's on ebay it might be less elsewhere.
170,But am going to college pa. What to do. are else ill come there it self. Pa.
171,4 oclock at mine. Just to bash out a flat plan.
172,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
173,Then any special there?
174,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
175,"Sorry that took so long, omw now"
176,Wait  &lt;#&gt;  min..
177,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
178,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
179,"Hurry up, I've been weed-deficient for like three days"
180,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
181,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
182,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
183,O. Well uv causes mutations. Sunscreen is like essential thesedays
184,Having lunch:)you are not in online?why?
185,I know that my friend already told that.
186,Hi Princess! Thank you for the pics. You are very pretty. How are you?
187,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
188,Hi msg me:)i'm in office..
189,Thanx 4 e brownie it's v nice...
190,Geeeee ... I love you so much I can barely stand it
191,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
192,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
193,Oooh bed ridden ey? What are YOU thinking of?
194,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
195,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
196,WOT U WANNA DO THEN MISSY?
197,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
198,Do you know where my lab goggles went
199,Can you open the door?
200,Waiting for your call.
201,Nope i waiting in sch 4 daddy... 
202,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
203,Ü wait 4 me in sch i finish ard 5..
204,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
205,Huh so early.. Then ü having dinner outside izzit?
206,Ok anyway no need to change with what you said
207,my ex-wife was not able to have kids. Do you want kids one day?
208,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
209,Tell them u have a headache and just want to use 1 hour of sick time.
210,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
211,Pete can you please ring meive hardly gotany credit
212,Ya srsly better than yi tho
213,"I'm in a meeting, call me later at"
214,You still at grand prix?
215,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
216,I am great! How are you?
217,Gud mrng dear have a nice day
218,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
219,I'm going out to buy mum's present ar.
220,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
221,If u sending her home first it's ok lor. I'm not ready yet.
222,Speaking of does he have any cash yet?
223,Be happy there. I will come after noon
224,Meet after lunch la...
225,TaKe CaRE n gET WeLL sOOn
226,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
227,Neva mind it's ok..
228,"It's fine, imma get a drink or somethin. Want me to come find you?"
229,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
230,I have many dependents
231,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
232,I called and said all to him:)then he have to choose this future.
233,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...
234,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
235,For my family happiness..
236,I come n pick ü up... Come out immediately aft ur lesson...
237,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
238,Dear we got  &lt;#&gt;  dollars hi hi
239,Good words.... But words may leave u in dismay many times.
240,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
241,"sorry, no, have got few things to do. may be in pub later."
242,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
243,"Haha good to hear, I'm officially paid and on the market for an 8th"
244,How many licks does it take to get to the center of a tootsie pop?
245,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
246,Please dont say like that. Hi hi hi
247,Thank u!
248,Oh that was a forwarded message. I thought you send that to me
249,Got it. Seventeen pounds for seven hundred ml – hope ok.
250,Me n him so funny...
251,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
252,When ü login dat time... Dad fetching ü home now?
253,"What will we do in the shower, baby?"
254,I had askd u a question some hours before. Its answer
255,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
256," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
257,Probably gonna swing by in a wee bit
258,Ya very nice. . .be ready on thursday
259,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
260,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
261,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
262,No prob. I will send to your email.
263,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
264,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
265,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
266,Fine i miss you very much.
267,Did u got that persons story
268,Tell them the drug dealer's getting impatient
269,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
270,You will be in the place of that man
271,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
272,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
273,Then mum's repent how?
274,Sorry me going home first... Daddy come fetch ü later...
275,Leave it de:-). Start Prepare for next:-)..
276,Yes baby! We can study all the positions of the kama sutra ;)
277,En chikku nange bakra msg kalstiya..then had tea/coffee?
278,Carlos'll be here in a minute if you still need to buy
279,This pay is  &lt;DECIMAL&gt;  lakhs:)
280,Have a good evening! Ttyl
281,Did u receive my msg?
282,Ho ho - big belly laugh! See ya tomo
283,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
284,"I've got  &lt;#&gt; , any way I could pick up?"
285,"I dont knw pa, i just drink milk.."
286,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
287,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
288,Cause I'm not freaky lol
289,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
290,What is this 'hex' place you talk of? Explain!
291,Ü log off 4 wat. It's sdryb8i
292,Is xy going 4 e lunch?
293,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
294,Have you finished work yet? :)
295,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
296,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
297,Thanks love. But am i doing torch or bold.
298,Was the farm open?
299,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
300,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
301,Will purchase d stuff today and mail to you. Do you have a po box number?
302,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
303,Good. Good job. I like entrepreneurs
304,"Aight, you close by or still down around alex's place?"
305,meet you in corporation st outside gap … you can see how my mind is working!
306,Mum ask ü to buy food home...
307,K..u also dont msg or reply to his msg..
308,How much r ü willing to pay?
309,"Sorry, I'll call later"
310,What is important is that you prevent dehydration by giving her enough fluids
311,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
312,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
313,"I don't think I can get away for a trek that long with family in town, sorry"
314,So when do you wanna gym harri
315,Quite late lar... Ard 12 anyway i wun b drivin...
316,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
317,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
318,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
319,He also knows about lunch menu only da. . I know
320,When i have stuff to sell i.ll tell you
321,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
322,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
323,Oh is it? Send me the address
324,S'fine. Anytime. All the best with it.
325,That is wondar full flim.
326,Ya even those cookies have jelly on them
327,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
328,Got it! It looks scrumptious... daddy wants to eat you all night long!
329,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
330,"Alright omw, gotta change my order to a half8th"
331,Exactly. Anyways how far. Is jide her to study or just visiting
332,Dunno y u ask me.
333,No he didn't. Spring is coming early yay!
334,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
335,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
336,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
337,Then why no one talking to me
338,Thanks for looking out for me. I really appreciate.
339,Wish i were with you now!
340,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
341,Yes i will be there. Glad you made it.
342,Do well :)all will for little time. Thing of good times ahead:
343,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
344,Ok. There may be a free gym about.
345,Men like shorter ladies. Gaze up into his eyes.
346,Dunno he jus say go lido. Same time 930.
347,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
348,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
349,By monday next week. Give me the full gist
350,Dont gimme that lip caveboy
351,When did you get to the library
352,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
353,So why didnt you holla?
354,Cant think of anyone with * spare room off * top of my head
355,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
356,U should have made an appointment
357,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
358,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
359,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
360,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
361,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
362,"Sorry, I'll call later"
363,I cant pick the phone right now. Pls send a message
364,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
365,Not getting anywhere with this damn job hunting over here!
366,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? 
367,"idc get over here, you are not weaseling your way out of this shit twice in a row"
368,I wil be there with in  &lt;#&gt;  minutes. Got any space
369,Just sleeping..and surfing
370,Thanks for picking up the trash.
371,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
372,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx
373,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
374,That means get the door
375,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
376,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
377,Beerage?
378,Dont think so. It turns off like randomlly within 5min of opening
379,"She was supposed to be but couldn't make it, she's still in town though"
380,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
381,Gud mrng dear hav a nice day
382,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
383,All e best 4 ur driving tmr :-)
384,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT’S AL!!!!!!!!!
385,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
386,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
387,it's really getting me down just hanging around.
388,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
389,Ok i msg u b4 i leave my house.
390,Gimme a few was  &lt;#&gt;  minutes ago
391,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
392,K I'll be there before 4.
393,I dled 3d its very imp
394,"sure, but make sure he knows we ain't smokin yet"
395,Boooo you always work. Just quit.
396,I am taking half day leave bec i am not well
397,Ugh I don't wanna get out of bed. It's so warm.
398,S:)s.nervous  &lt;#&gt; :)
399,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
400,I borrow ur bag ok.
401,Where's my boytoy? I miss you ... What happened?
402,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
403,Also are you bringing galileo or dobby
404,Then why you not responding
405,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & I’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.
406,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
407,On the road so cant txt
408,Have a good evening! Ttyl
409,Hmm .. Bits and pieces lol ... *sighs* ...
410,Hahaha..use your brain dear
411,Hey. You got any mail?
412,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
413,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
414,Hi mate its RV did u hav a nice hol just a message 3 say hello coz haven’t sent u 1 in ages started driving so stay off roads!RVx
415,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
416,Surely result will offer:)
417,Good Morning my Dear........... Have a great &amp; successful day.
418,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
419,I luv u soo much u don’t understand how special u r 2 me ring u 2morrow luv u xxx
420,"Pls send me a comprehensive mail about who i'm paying, when and how much."
421,Our Prashanthettan's mother passed away last night. pray for her and family.
422,K.k:)when are you going?
423,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
424,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
425,I am in office:)whats the matter..msg me now.i will call you at break:).
426,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
427,U reach orchard already? U wan 2 go buy tickets first?
428,"I am real, baby! I want to bring out your inner tigress..."
429,No da if you run that it activate the full version da.
430,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
431,Stop the story. I've told him i've returned it and he's saying i should not re order it.
432,Going to take your babe out ?
433,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
434,Spoons it is then okay?
435,Did he just say somebody is named tampa
436,In work now. Going have in few min.
437,Your brother is a genius
438,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
439,Did u find out what time the bus is at coz i need to sort some stuff out.
440,Dude ive been seeing a lotta corvettes lately
441,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
442,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
443,Its going good...no problem..but still need little experience to understand american customer voice...
444,I'll text you when I drop x off
445,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
446,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
447,Are you in castor? You need to see something
